chunk_id,hierarchy,title,content,keywords,question_predict,relevant_doc_ids,reference_answer
PCB01-P004-C003,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 4,GSFC-STD-8001 标准适用范围,"of FOREWORD This standard is published by the Goddard Space Flight Center (GSFC) to provide uniform engineering and technical requirements for processes, procedures, practices, and methods that have been endorsed as standard for NASA GSFC programs and projects, including requirements for design, procurement, quality verifications, and repair of printed circuit boards (PCBs). This standard establishes requirements that apply to printed circuit boards of all types used for GSFC missions and for engineering model work that directly affects the design or quality of PCBs used in GSFC missions. The requirements address design criteria, procurement instructions, quality requirements, quality data deliverables, and review and approval processes. Requests for information, corrections, or additions to this standard should be submitted via “Contact GTSP” on the GSFC Technical Standards website at http://standards.gsfc.nasa.gov. Original Signed by James S. Wonsever Technical Standard Coordinator Goddard Space Flight Center","GSFC-STD-8001, 印刷电路板, 质量保证, NASA, GSFC, PCB, 适用范围, 标准",GSFC-STD-8001 标准适用于哪些类型的印刷电路板？,"[""PCB01-P004-C003""]",该标准适用于所有用于 GSFC 任务的印刷电路板，以及直接影响 GSFC 任务中 PCB 设计或质量的工程模型工作。
PCB01-P007-C008,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 7,工程模型硬件要求的应用条件,"Engineering Model Hardware These requirements shall be applied to engineering model hardware in cases where (1) the engineering model is being used to validate manufacturing processes, (2) the engineering model is going through full environmental testing prior to build of the flight model, or (3) there is a possibility that the engineering model may become a flight spare. Engineering Development Units Projects shall limit, or not impose, the requirements stipulated herein to engineering development units so as to enable such units to be produced at a low cost and without expectations for extensive failure analysis. Development units, which are eventually used as flight hardware, are subject to risk assessment. The Project CSO should consult the GSFC Microelectronics Packaging and Printed Circuit Board (MPCB) Commodity Risk Assessment Engineer (CRAE)","工程模型, 硬件, 测试, 飞行备件, GSFC-STD-8001, engineering model, flight spare",在哪些情况下工程模型硬件需要遵循 GSFC-STD-8001 的要求？,"[""PCB01-P007-C008""]",当工程模型用于验证制造工艺、在飞行模型制造前经历完整环境测试、或可能成为飞行备件时，需要应用这些要求。
PCB01-P009-C012,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 9,标准文档冲突的解决原则,"Requirements herein that are unique to a certain mission risk class (e.g., Class A, Class B, Class C, Class D) shall be applied in accordance with the mission risk class defined by the project’s mission assurance baseline. Requirements herein that are not associated with a particular mission risk class are applicable to all mission risk classes for missions required to follow NPR 7120.5. In the event of a conflict between revisions of the documents described in Sections 2. and 2. above, the language in the latest revision of a standard shall take precedence. ACRONYMS AND DEFINITIONS 3. Acronyms CAGE Commercial and Government Entity Coupon A portion of quality conformance test circuitry that is used for a specific test, or group of related tests, in order to determine the acceptability of a product. Coupon strip Section of the PCB production panel that contains one or more coupon segments","标准修订, 冲突, 优先顺序, GSFC-STD-8001, revision, conflict",当 GSFC-STD-8001 中引用的不同标准修订版本之间存在冲突时，应如何处理？,"[""PCB01-P009-C012""]",以最新修订版的标准语言为准。
PCB01-P012-C015,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 12,PCB 设计要求的引用标准,"Visual acuity per NASA-STD-8739.6, A.7. or IPC-QL-653, 3.5.1.d 4.4. IPC-A- Certified IPC Specialist (CIS) certification, Modules 1, 2, and or IPC-6012 CIS certification with Space Addendum 4.4. No lapse in inspector duties for greater than two years 4.4. Equivalent experience can be substituted for formal certification 5. PCBs shall be designed in accordance with IPC-2221 (Class 3), Generic Standard on Printed Board Design, and one or more of the following relevant design standards: IPC-2222 Sectional Design Standard for Rigid Organic Printed Boards 2. IPC-2223 Sectional Design Standard for Flexible Printed Boards 3. IPC-2225 Sectional Design Standard for Organic Multichip Modules (MCM-L) and MCM-L Assemblies 5.1. PCB test coupons shall be designed per IPC-2221 into all PCB production panels. Non-standard Features Any PCB features that are not defined by the IPC-2220 and IPC-6010 series standards are considered non-standard, and shall be evaluated for possible impacts to hardware performance, reliability, or manufacturing success per 5.5. The evaluation shall be provided to the Project CSO and the GSFC MPCB CRAE to be approved for use prior to final board design. The PCB drawings shall be used to provide instructions to the PCB vendor related to design intent as well as to flow down applicable quality assurance requirements from this standard. The design organization shall create a drawing note baseline that addresses all critical requirements. Direction shall be provided for each applicable requirement characterized by the standards defined in 5. and 6.3. as “as agreed between the user and the supplier” (AABUS) or requiring specification in the procurement documentation.","PCB设计, IPC-2221, Class 3, GSFC-STD-8001, 设计标准, printed board design",根据 GSFC-STD-8001，PCB 设计应遵循哪个基础标准？,"[""PCB01-P012-C015""]",PCB 应按 IPC-2221（Class 3）《印制板设计通用标准》以及一个或多个相关分标准进行设计。
PCB01-P014-C019,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 14,PCB批次验收责任,"The Project CSO or their delegate is responsible for reviewing the structural integrity evaluation results and recommending acceptance or rejection of the lot. Successful completion of the structural integrity analysis, both by the PCB vendor (per 6.5) and by the third-party structural integrity testing lab (per 6.6.2), forms the basis for the system developer or supplier to accept delivery of the PCB lot. The review and recommendation shall be included in the PCB Lot Acceptance and Quality Conformance Testing Results. See 6.4. for non- conforming lots. The GSFC Safety and Mission Assurance Directorate (Code 300) shall be the technical authority for PCB quality assurance and shall be responsible for interpreting the intent for each requirement stated herein and for approval of related waivers. Approved waivers shall be included in the lot data acceptance package. Printed Circuit Board Procurement 6.2. Flow down of Manufacturing and Quality Requirements PCB procurements shall impose on the PCB vendor all applicable requirements defined herein and in applicable project quality assurance requirements documents that are related","PCB, CSO, 结构完整性, 验收, quality assurance, lot acceptance",谁负责审查结构完整性评估结果并推荐接受或拒绝PCB批次？,"[""PCB01-P014-C019""]",项目CSO或其代表负责审查结构完整性评估结果并推荐接受或拒绝该批次。
PCB01-P016-C022,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 16,PCB批次交付要求,"Delivery of PCB Lots Procurement requirements shall specify to the vendor that procurement documentation, PCB lot data, and structural integrity test coupons be delivered prior to the delivery of the finished boards. The acceptability of the lot is predicated on the compliance and acceptability of the lot data. For mission classes D or Sub-D per GPR 8705.4, the system developer or supplier may “at risk” populate PCB concurrently or after the printed circuit board structural integrity coupons are inspected at GSFC Laboratory or at a third-party laboratory. All PWB test coupons provided to GSFC or to a GSFC-assessed third-party laboratory shall be directly traceable to each board used in flight hardware. Risk assessments, as discussed in 7.6, are performed for coupons that exhibit nonconformance to requirements. If the risk assessment indicates elevated risk due to the nonconformance, then use of the board(s) shall be dispositioned by MRB as a major nonconformance. Vendors shall be responsible for replacing PCB lots that are not accepted by the GSFC project. Boards should not be rebuilt without a determination of the cause for the nonconformance, including whether the cause traces to a problem in the design, specification, or flowdown of requirements. Neither test coupons nor finished boards shall be delivered for lots that fail to pass vendor acceptance testing as defined in 6.5.1. When the system developer or supplier will use existing board lots or previously manufactured assemblies, see section 5.5.5. Lot Information and Data Procurement requirements shall specify that the PCB vendor submit the following information and data for each board lot. The following lot information and data shall be included in the lot data acceptance package:","PCB, lot delivery, risk population, test coupons, mission class",对于任务等级D或Sub-D，系统开发人员或供应商可以在什么时候'风险'地组装PCB？,"[""PCB01-P016-C022""]",在PCB结构完整性测试样片在GSFC实验室或第三方实验室检查后，可以同时或在之后进行'风险'组装。
PCB01-P017-C025,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 17,自定义测试样片要求,"Custom coupons shall comply with IPC-2221 and contain, at a minimum, two sets of three holes, one in the X and one in the Y dimensional planes, as well as a set of three holes to evaluate blind, buried, and micro via structures if contained in the represented panel. If ENIG or ENEPIG are used as a final finish, the coupon shall contain a pad with minimum size of 0. in x 0. in for the plating measurement. A qualification board may be submitted instead of the coupons required in 6.2.6. above provided the qualification board complies with IPC-2221 and contains, at a minimum, two sets of three holes, one in the X and one in the Y dimensional planes, as well as a set of three holes to evaluate blind, buried, and micro via structures if contained in the represented panel. The location of the holes and features to be evaluated shall be provided by the vendor. If the PCB vendor provides quantitative results of ENIG or ENEPIG surface finish thickness, those results may be used in lieu of qualification board third party testing of surface finish.","custom coupon, IPC-2221, test coupon, PCB, via structures",自定义测试样片必须符合哪个标准，并至少包含什么？,"[""PCB01-P017-C025""]",必须符合IPC-2221，至少包含两组三个孔（一组在X方向，一组在Y方向），以及若面板上有盲孔、埋孔和微导通孔结构，还需一组评估这些结构的孔。
PCB01-P020-C029,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 20,GSFC批次验收步骤,"of compliance with the requirements imposed by the procurement documents including those imposed by the PCB drawing notes. GSFC shall perform lot acceptance by: Reviewing the delivered vendor acceptance test data package. See sections 6.2. and 6.2. for lot data acceptance details for PCB procurement. Performing an external visual inspection of each delivered PCB. Reviewing the DC Current Induced Thermal Cycling Test results, in accordance with 6.5.2, when specified by the Project, to augment PCB vendor or third-party structural analysis results. A final signoff by the Project CSO. Handling of Non-conformances When delivered data, either from testing or structural integrity analysis, reveals a nonconformance, a risk assessment is performed as discussed in 7.6. Use of a non- conforming lot shall be recorded by the Project or GSFC SMA and noted in the GSFC Meta system, and any risk included to the record. Final dispositions for PCBs that do not conform to applicable requirements will come from the GSFC Project Office. Vendor Product Acceptance Testing Quality assurance for PCBs used in applicable hardware consists of ensuring conformance with baseline manufacturing quality standards, additional quality and performance criteria defined herein, in the PCB drawing notes, and in project-specific requirement documents. Quality conformance is evaluated through inspections and tests performed on the boards that will be used in the mission as well as on representative samples of those boards, called coupons. IPC-6010 Vendor Acceptance Testing 1. The PCB vendor should perform acceptance testing to verify quality conformance of each production panel and represented board. For rigid printed boards, vendor acceptance testing shall be per IPC-6012 Space Addendum.","GSFC, lot acceptance, vendor test data, visual inspection, PCB",GSFC执行批次验收时，应审查什么？,"[""PCB01-P020-C029""]",应审查交付的供应商验收测试数据包。
PCB01-P021-C032,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 21,Microsection Potting Material Requirement,"The GSFC-assessed third-party structural integrity analysis lab shall only receive work instructions or directions from GSFC. Structural Integrity Analysis 1. The third-party structural integrity analysis lab shall review the delivered lot information (see 6.2.5.1, 6.2.5.8, 6.2.6) prior to the start of the structural integrity evaluation. The third party structural integrity analysis lab shall examine microsections in the as- received condition in the X dimensional plane and in the thermally stressed condition in the Y dimensional plane. Test coupons containing blind, buried, or microvias shall also be evaluated in the thermally stressed condition. Test coupons shall be inspected for structural integrity in accordance with the criteria in the procurement requirements (see 6.2.1). This requirement assumes that the procurement requirements reflect a reviewed and approved design, reviewed and approved drawing notes, and do not conflict with the quality criteria herein without prior approval by the CSO. Microsections shall be prepared per IPC-TM-650, Method 2.1.1, or a process that is documented and evaluated during the third-party structural integrity analysis testing lab assessment process. a. Material with a room temperature-cure shall be used to pot samples; hot mount epoxy shall be prohibited.","PCB, microsection, potting, room temperature-cure, hot mount epoxy prohibited, structural integrity",在结构完整性分析时，微切片的制备对包埋材料有何具体要求？,"[""PCB01-P021-C032""]",应使用室温固化材料来包埋样品，禁止使用热镶环氧树脂。
PCB01-P023-C035,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 23,PCB Handling and Storage Nonconformance Disposition,"of Board CRAE on a quarterly basis. The testing lab should assess: i. Time that coupon submissions are in the queue prior to start of the evaluation ii. Time from start of evaluation to report completion iii. Time from report completion to report delivery 6. Incoming External Visual Inspection 1. PCBs delivered shall be optically inspected at the assembly facility to verify that they comply with the procurement specification (see 6.2.1, 6.3.4). The inspection shall be performed by a certified PCB inspector, in accordance with 4.3, and the results shall be submitted to the Project CSO for inclusion in the PCB Lot Acceptance and Quality Conformance Testing Results. PCBs that fail to meet the external visual inspection quality criteria defined in the procurement requirements shall be segregated from conforming product at inspection and identified as non-conforming. A risk assessment may be performed for PCBs that fail to meet external visual inspection quality criteria defined in the procurement documents. Final directions for PCBs that fail to meet external visual inspection quality criteria will come from the Project CSO. PCB Handling, Storage and Retention Requirements a. IPC-1601 or a supplier established and GSFC approved handling and storage procedure shall be used by all participants in the PCB supply chain for identifying procedures and practices of PCB handling and storage. b. PCBs that are not handled and stored per the appropriate requirement shall be segregated from conforming product and identified as non-conforming. A risk assessment may be performed for PCBs that fail to meet the handling and storage requirement. Final directions for the use of PCBs that fail to meet PCB handling and storage requirements will come from the Project CSO. c.","PCB, handling, storage, nonconforming, segregation, risk assessment, Project CSO",当PCB未按适当的处理与存储要求进行时，应如何处置？,"[""PCB01-P023-C035""]",不符合处理与存储要求的PCB应与合格产品隔离并标识为不合格品；可进行风险评估；最终使用方向由项目CSO决定。
