chunk_id,hierarchy,title,content,keywords,question_predict,relevant_doc_ids,reference_answer
1-01,IPC-A-610 Guide > 1 Introduction,Introduction and Purpose,"IPC-A-610, officially titled ""Acceptability of Electronic Assemblies,"" is a globally used visual acceptance standard for electronic assemblies and PCB assemblies (PCBA).<br>It provides visual acceptance criteria intended to support product quality, reliability, and consistency.<br>It is used for operator, inspector, and engineer training; certification validates personnel skill levels and quality commitment.<br>The standard is maintained through dedicated task groups and expert committees, alongside related standards such as J-STD-001.","IPC-A-610, Acceptability of Electronic Assemblies, PCBA, visual acceptance, certification",IPC-A-610 的主要用途和适用对象是什么？,"[""1-01""]",IPC-A-610 是电子组件和 PCBA 的目视验收标准，用于统一质量、可靠性和一致性判定，主要服务于制造、检验、工程及相关人员培训。
1.1-01,IPC-A-610 Guide > 1 Introduction > 1.1 Scope,IPC-A-610 Coverage,"IPC-A-610 establishes measurable criteria for assessing PCBA suitability and expected longevity.<br>Covered areas include component placement, soldering quality for SMT/through-hole/mixed technology, post-assembly cleanliness, and marking/labeling for traceability.<br>Systematic inspection against these criteria supports objective evaluation of functional and aesthetic assembly requirements.","PCBA, component placement, soldering quality, cleanliness, marking, traceability",IPC-A-610 通常覆盖哪些 PCBA 检验项目？,"[""1.1-01"",""2-01""]",通常覆盖元件贴装、通孔/SMT/混装焊接质量、焊后清洁，以及用于追溯的标记和标签。
1.2-01,IPC-A-610 Guide > 1 Introduction > 1.2 Stakeholders,Users of the Standard,"IPC-A-610 supports electronics manufacturers and assembly houses in defining internal PCBA quality-control processes.<br>It supports inspection organizations in conducting unbiased assessments.<br>It also gives customers and suppliers a shared basis for quality requirements and acceptance criteria.<br>The standard is updated to address evolving needs in industries including aerospace, automotive, and medical-device PCBA manufacturing.","quality control, inspection, supplier, aerospace, automotive, medical device",哪些组织或角色会使用 IPC-A-610？,"[""1.2-01""]",电子制造商、组装厂、第三方检验机构、客户和供应商都会使用 IPC-A-610，并广泛用于航空、汽车和医疗电子等行业。
2-01,IPC-A-610 Guide > 2 PCBA Acceptance Criteria,PCBA Acceptance Criteria Framework,"The guide describes PCBA evaluation as based on inspection and evaluation parameters covering component placement, soldering accuracy, cleaning levels, and marking regulations.<br>The criteria apply to through-hole, surface-mount, and mixed-technology assemblies.","acceptance criteria, inspection, through-hole, SMT, mixed technology",该指南对 PCBA 的验收主要依据哪些参数？,"[""2-01"",""1.1-01""]",PCBA 验收主要依据元件放置、焊接准确性、清洁程度和标记规范，并分别适用于通孔、表面贴装和混装组件。
2.1-01,IPC-A-610 Guide > 2 PCBA Acceptance Criteria > 2.1 Through-Hole,Through-Hole Component Requirements,"For through-hole assemblies, component orientation, spacing, and alignment on the PCB substrate should be correct.<br>Components should be securely mounted to withstand operational strain, and lead length should be sufficient for robust soldering.<br>Unacceptable conditions described include damaged component leads or PCB lands, excessive solder, solder bridging, cold solder joints, and visible cracks or fractures in solder joints.<br>The guide also emphasizes lead protrusion, solder wetting, and component alignment.","through-hole, THT, lead protrusion, solder wetting, solder bridging, cold solder joint",通孔元件焊接中，哪些情况会被视为不符合要求？,"[""2.1-01""]",不符合项包括元件方向、间距或对齐错误，安装不牢或引脚长度不足，以及引脚/焊盘损伤、焊锡过多、桥连、冷焊和焊点裂纹。
2.2-01,IPC-A-610 Guide > 2 PCBA Acceptance Criteria > 2.2 Surface Mount,Surface-Mount Component Requirements,"For surface-mount assemblies, components should have proper orientation, spacing, and alignment.<br>Components, the PCB, and solder joints should not be damaged during assembly.<br>Solder joints should exhibit proper wetting and fillet formation.<br>Conditions described as unacceptable include visible voids, excessive solder, solder bridging, and lifted, tilted, or misaligned components.<br>Inspection focuses on parameters such as fillet height, toe/heel overhang, and solder-paste coverage.","SMT, surface mount, fillet height, toe overhang, heel overhang, void, bridging",SMT 元件出现倾斜、桥连或空洞时如何判定？,"[""2.2-01""]",可见空洞、焊锡过多、桥连，以及元件翘起、倾斜或错位均属于不可接受状态；同时还应检查润湿、焊脚形状和悬伸等参数。
2.3-01,IPC-A-610 Guide > 2 PCBA Acceptance Criteria > 2.3 Mixed Technology,Mixed-Technology Assembly Requirements,"For mixed-technology assemblies, acceptance requirements combine the through-hole and surface-mount requirements.<br>Through-hole components must be properly mounted and soldered.<br>Surface-mount components must have proper solder-joint formation and correct component orientation.<br>The guide describes reliable mixed-technology assembly as requiring balanced application of both THT and SMT standards.","mixed technology, THT, SMT, mounting, solder joint, orientation",混装 PCB 应如何同时满足通孔和 SMT 的验收要求？,"[""2.3-01"",""2.1-01"",""2.2-01""]",混装 PCB 应同时应用 THT 与 SMT 要求：通孔元件需安装牢固并正确焊接，SMT 元件需方向正确且焊点成形良好。
3-01,IPC-A-610 Guide > 3 Component Placement,Component Placement Requirements,"Component placement criteria are intended to ensure correct assembly and fitness for intended use.<br>Failure to meet placement criteria can create assembly defects and affect finished-product functionality and reliability.<br>The requirements apply to through-hole, surface-mount, and mixed-technology assemblies.","component placement, assembly defect, reliability, PCBA",元件贴装不符合要求会对产品造成什么影响？,"[""3-01""]",贴装不合格会造成装配缺陷，并降低成品的功能、可靠性以及对预期用途的适用性。
3.1-01,IPC-A-610 Guide > 3 Component Placement > 3.1 Orientation,Component Orientation,"Component orientation should match the direction specified in assembly documentation.<br>All components should be properly aligned.<br>The orientation of polarized components, including electrolytic capacitors and diodes, should be verified.","component orientation, polarized component, electrolytic capacitor, diode, alignment",极性元件的方向检验应关注哪些内容？,"[""3.1-01""]",应核对元件方向是否符合装配文件、整体是否对齐，并重点确认电解电容和二极管等极性元件的正负方向。
3.2-01,IPC-A-610 Guide > 3 Component Placement > 3.2 Spacing and Mounting,"Spacing, Alignment, and Mounting","Components should be placed with correct spacing and alignment to provide clearance, avoid mechanical interference, and leave adequate room for assembly and testing.<br>Components should be securely mounted; all leads or pads should be properly inserted or seated.<br>Leads or pads should not be damaged during insertion, and components should be held in place until soldered.","spacing, alignment, clearance, mechanical interference, mounting, seated lead",元件间距和安装牢固性有哪些基本要求？,"[""3.2-01""]",元件应保持正确间距和对齐，避免机械干涉并留出装配测试空间；安装必须牢固，引脚或焊盘应正确就位且不得受损。
